Rank,Polish,English,,Notes
1,nie,no,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,to,this,,The order is based on the number of occurences of each word in the subtitles.
3,się,himself,,
4,w,in,,2) The English translation is by Google and can be un-reliable for some words.
5,na,on,,
6,i,and,,3) You can change the translation from English to another language.
7,z,with,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,co,What,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,jest,is,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,że,that,,List of supported languages:
11,do,down,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,tak,Yes,,
13,jak,how,,4) The original source of this list can be found here:
14,o,about,,https://invokeit.wordpress.com/frequency-word-lists/
15,mnie,me,,
16,a,and,,5) It is licensed under the following Creative Commons license:
17,ale,but,,http://creativecommons.org/licenses/by-sa/3.0/
18,mi,to me,,
19,za,behind,,6) More Most Common word lists (other languages) can be found here:
20,ja,I,,http://www.101languages.net/common-words/
21,ci,these,,
22,tu,here,,
23,ty,you,,
24,czy,whether,,
25,tym,this,,
26,go,him,,
27,tego,this,,
28,tylko,only,,
29,jestem,I am,,
30,po,after,,
31,cię,you,,
32,ma,It has,,
33,już,already,,
34,mam,I have,,
35,jesteś,You are,,
36,może,maybe,,
37,pan,Mr,,
38,dla,for,,
39,coś,something,,
40,dobrze,well,,
41,wiem,I know,,
42,jeśli,if,,
43,teraz,now,,
44,proszę,Please,,
45,od,from,,
46,wszystko,everything,,
47,tam,over there,,
48,więc,so,,
49,masz,you have,,
50,nic,Thread,,
51,on,he,,
52,być,be,,
53,gdzie,where,,
54,będzie,will,,
55,są,are,,
56,ten,this,,
57,mogę,I can,,
58,ciebie,you,,
59,bardzo,very,,
60,sobie,himself,,
61,kiedy,when,,
62,ze,that,,
63,wiesz,Do you know,,
64,no,Well,,
65,jej,her,,
66,jeszcze,yet,,
67,pani,you,,
68,był,It was,,
69,mój,my,,
70,chcę,want,,
71,było,it was,,
72,dlaczego,why,,
73,by,would,,
74,przez,through,,
75,nas,us,,
76,tutaj,here,,
77,chcesz,you want,,
78,jego,his,,
79,ją,I,,
80,ich,their,,
81,nigdy,never,,
82,żeby,in order to,,
83,też,also,,
84,kto,who,,
85,naprawdę,really,,
86,przepraszam,excuse me,,
87,bo,because,,
88,mamy,we have,,
89,porządku,right,,
90,możesz,you can,,
91,dobra,Okay,,
92,mu,him,,
93,dziękuję,thank you,,
94,ona,she,,
95,domu,house,,
96,panie,Mr.,,
97,muszę,I have to,,
98,nawet,even,,
99,chyba,surely,,
100,hej,Hi,,
101,właśnie,just,,
102,prawda,truth,,
103,zrobić,do,,
104,te,these,,
105,zawsze,always,,
106,będę,I will,,
107,moja,my,,
108,gdy,when,,
109,je,them,,
110,trochę,some,,
111,nam,U.S,,
112,moje,my,,
113,cześć,Hello,,
114,bez,without,,
115,nim,it,,
116,była,was,,
117,tej,this,,
118,jesteśmy,We are,,
119,dalej,further,,
120,pana,Mr,,
121,dzięki,thanks,,
122,wszyscy,everybody,,
123,musisz,you,,
124,twój,your,,
125,lat,years,,
126,tobą,you,,
127,więcej,more,,
128,ktoś,someone,,
129,czas,time,,
130,ta,this,,
131,który,which,,
132,chce,want,,
133,powiedzieć,tell,,
134,chodź,come,,
135,dobry,good,,
136,mną,me,,
137,niech,let,,
138,sam,alone,,
139,razem,together,,
140,chodzi,it comes,,
141,czego,what,,
142,boże,God,,
143,stało,happened,,
144,musimy,we have,,
145,raz,once,,
146,albo,or,,
147,prostu,just,,
148,będziesz,you,,
149,dzień,day,,
150,możemy,Shell we,,
151,was,mustache,,
152,myślę,I think,,
153,czym,and,,
154,daj,give,,
155,lepiej,better,,
156,czemu,why,,
157,ludzie,people,,
158,ok,okay,,
159,przed,before,,
160,życie,life,,
161,ludzi,people,,
162,robisz,you do,,
163,my,we,,
164,niż,than,,
165,tych,these,,
166,kim,Who is,,
167,rzeczy,things,,
168,myślisz,you think,,
169,powiedz,tell,,
170,przy,at,,
171,twoja,your,,
172,oni,they,,
173,oczywiście,of course,,
174,nikt,no one,,
175,siebie,each other,,
176,stąd,hence,,
177,niego,him,,
178,twoje,your,,
179,miał,he had,,
180,jeden,one,,
181,mówi,says,,
182,powiedział,He said,,
183,moim,my,,
184,czasu,time,,
185,u,at,,
186,dziś,today,,
187,im,them,,
188,które,which,,
189,musi,must,,
190,wtedy,then,,
191,taki,such,,
192,aby,to,,
193,pod,under,,
194,dwa,two,,
195,temu,ago,,
196,pewnie,surely,,
197,takie,such a,,
198,cóż,Well,,
199,wszystkie,all,,
200,mojego,my,,
201,dużo,a lot,,
202,cholera,cholera,,
203,kurwa,whore,,
204,wie,know,,
205,znaczy,means,,
206,wygląda,looks,,
207,dzieje,history,,
208,mieć,have,,
209,ile,how much,,
210,iść,go,,
211,potem,later,,
212,będziemy,we will,,
213,dzieci,children,,
214,dlatego,because,,
215,cały,all,,
216,byłem,I was,,
217,moją,my,,
218,skąd,whence,,
219,szybko,fast,,
220,jako,as,,
221,kochanie,sweetheart,,
222,stary,old,,
223,trzeba,one must,,
224,miejsce,place,,
225,myśli,thoughts,,
226,można,one can,,
227,sie,August,,
228,jasne,Sure,,
229,mojej,my,,
230,wam,you,,
231,swoje,your,,
232,zaraz,soon,,
233,wiele,many,,
234,nią,it,,
235,rozumiem,I understand,,
236,nich,them,,
237,wszystkich,all,,
238,jakieś,some,,
239,jakiś,some,,
240,kocham,love,,
241,idź,go,,
242,tę,these,,
243,mają,they have,,
244,mówię,I say,,
245,mówisz,you say,,
246,dzisiaj,today,,
247,nad,above,,
248,pomóc,help,,
249,takiego,such a,,
250,przestań,come on,,
251,tobie,you,,
252,jutro,tomorrow,,
253,robić,do,,
254,jaki,what,,
255,mamo,Mom,,
256,kilka,a few,,
257,przykro,sorry,,
258,wiedzieć,know,,
259,ojciec,father,,
260,widzisz,you see,,
261,zbyt,too,,
262,zobaczyć,see,,
263,która,which,,
264,ani,or,,
265,tyle,so much,,
266,trzy,three,,
267,tą,this,,
268,sposób,way,,
269,miałem,I had,,
270,tato,Dad,,
271,niej,it,,
272,później,later,,
273,pieniądze,money,,
274,robi,does,,
275,kogoś,someone,,
276,kiedyś,once,,
277,zanim,before,,
278,widzę,I see,,
279,pracy,working,,
280,świetnie,Great,,
281,pewno,surely,,
282,myślałem,I thought,,
283,będą,will,,
284,bardziej,more,,
285,życia,life,,
286,długo,long,,
287,och,oh,,
288,sir,sir,,
289,ponieważ,because,,
290,aż,until,,
291,dni,days,,
292,nocy,night,,
293,każdy,each,,
294,dnia,day,,
295,znowu,again,,
296,oh,oh,,
297,chciałem,I wanted,,
298,taka,the,,
299,swoją,your,,
300,twoim,your,,
301,widziałem,I have seen,,
302,stanie,able,,
303,powiem,I say,,
304,imię,name,,
305,wy,you,,
306,żebyś,you,,
307,nadzieję,hope,,
308,twojej,your,,
309,panu,Mr.,,
310,spokój,calm,,
311,słuchaj,listen,,
312,rację,right,,
313,spójrz,look,,
314,razie,event,,
315,znam,I know,,
316,pierwszy,first,,
317,koniec,end,,
318,chciałbym,I would like,,
319,we,in,,
320,nami,us,,
321,jakie,what,,
322,posłuchaj,listen,,
323,problem,problem,,
324,przecież,yet,,
325,dobre,good,,
326,nasz,our,,
327,dziecko,child,,
328,drzwi,door,,
329,nasze,our,,
330,miło,nice,,
331,czuję,I feel,,
332,mógł,could,,
333,żyje,lives,,
334,jeżeli,if,,
335,człowiek,man,,
336,powiedziałem,I said,,
337,gdyby,if,,
338,roku,year,,
339,dom,House,,
340,sama,herself,,
341,potrzebuję,need,,
342,wszystkim,all,,
343,zostać,stay,,
344,wciąż,still,,
345,dokładnie,exactly,,
346,mama,mom,,
347,którzy,who,,
348,mówić,speak,,
349,zamknij,close,,
350,mów,tell,,
351,twoją,your,,
352,chwilę,moments,,
353,zrobił,done,,
354,samo,itself,,
355,idziemy,go,,
356,nadal,still,,
357,jesteście,you are,,
358,zabić,kill,,
359,były,former,,
360,sobą,together,,
361,kogo,whom,,
362,lub,or,,
363,lubię,I Like,,
364,the,the,,
365,podoba,like,,
366,minut,minutes,,
367,bym,I,,
368,chciał,he wanted,,
369,bądź,be,,
370,czegoś,something,,
371,gdzieś,somewhere,,
372,mówiłem,I said,,
373,chodźmy,let's go,,
374,znaleźć,found,,
375,poza,pose,,
376,spokojnie,calmly,,
377,wcześniej,before,,
378,został,left,,
379,rozumiesz,understand,,
380,mogą,can,,
381,prawie,almost,,
382,wydaje,it seems,,
383,miała,she had,,
384,mały,small,,
385,byłeś,you were,,
386,facet,guy,,
387,zrobię,I will,,
388,macie,you have,,
389,żadnych,any,,
390,razy,times,,
391,noc,night,,
392,ciągle,Still,,
393,broń,weapon,,
394,moich,my,,
395,twojego,your,,
396,końcu,the end,,
397,pomocy,help,,
398,czekaj,wait,,
399,znasz,you know,,
400,oczy,eyes,,
401,weź,take,,
402,idę,I'm going,,
403,halo,Hello,,
404,dość,enough,,
405,innego,another,,
406,pomysł,idea,,
407,jakby,like,,
408,trzymaj,hold,,
409,jedno,one,,
410,ojca,father,,
411,porozmawiać,talk,,
412,pamiętasz,Do you remember,,
413,lata,patch,,
414,powinieneś,should,,
415,którą,which,,
416,powodu,reason,,
417,takim,such a,,
418,niczego,nothing,,
419,powinniśmy,should,,
420,oto,here,,
421,napisy,Subtitles,,
422,jednak,but,,
423,świat,world,,
424,pokoju,room,,
425,żebym,me,,
426,sprawy,Affairs,,
427,dwie,two,,
428,samochód,car,,
429,swój,your,,
430,wystarczy,only need to,,
431,pewien,a,,
432,źle,wrong,,
433,pozwól,let the,,
434,numer,number,,
435,jedną,one,,
436,miejscu,place,,
437,you,you,,
438,drogi,expensive,,
439,byłam,I was,,
440,dokąd,where,,
441,miłość,love,,
442,panowie,gentlemen,,
443,pieniędzy,money,,
444,którego,whose,,
445,matka,mother,,
446,rano,morning,,
447,dwóch,two,,
448,całe,all,,
449,patrz,Look,,
450,rzecz,item,,
451,nowy,new,,
452,idzie,goes,,
453,wyglądasz,look,,
454,bóg,God,,
455,byś,you,,
456,życiu,life,,
457,nimi,them,,
458,nikogo,anyone,,
459,całą,whole,,
460,swojego,his,,
461,świecie,world,,
462,sprawa,case,,
463,dziewczyna,girl,,
464,prawo,right,,
465,byli,Visitors,,
466,zostaw,leave,,
467,wiedziałem,I knew,,
468,jedna,one,,
469,widzieć,see,,
470,swoim,his,,
471,kobiety,women,,
472,uważaj,be careful,,
473,najpierw,first,,
474,właściwie,properly,,
475,dam,I will give,,
476,również,also,,
477,diabła,hell,,
478,chcą,they want,,
479,którym,which,,
480,zrób,make,,
481,da,da,,
482,jednego,one,,
483,dać,give,,
484,musiał,he had,,
485,ręce,hands,,
486,powinienem,I should,,
487,których,which,,
488,znów,again,,
489,powiedziała,she said,,
490,wczoraj,yesterday,,
491,czujesz,you feel,,
492,zaczekaj,Wait,,
493,sądzę,I think,,
494,śmierć,death,,
495,mówił,he said,,
496,podczas,during,,
497,której,which,,
498,całkiem,quite,,
499,pracę,working,,
500,żona,wife,,
501,pójdę,I will go,,
502,pamiętam,I remember,,
503,powiedziałeś,you tell,,
504,mówią,they say,,
505,wiemy,we know,,
506,jezu,jezu,,
507,witam,Hello,,
508,cholery,hell,,
509,swoich,their,,
510,telefon,Telephone,,
511,wielu,many,,
512,także,also,,
513,poważnie,seriously,,
514,skoro,since,,
515,miejsca,place,,
516,robię,I am doing,,
517,śmierci,dying,,
518,słyszałem,I heard,,
519,wina,fault,,
520,zrobiłem,I did,,
521,dobranoc,Good night,,
522,parę,a couple,,
523,prawdę,truth,,
524,swojej,his,,
525,serce,heart,,
526,inaczej,otherwise,,
527,dziewczyny,Girls,,
528,kobieta,woman,,
529,powiesz,tell,,
530,martw,worry,,
531,rób,do,,
532,pytanie,question,,
533,pięć,bake,,
534,innych,other,,
535,one,they,,
536,gra,game,,
537,natychmiast,immediately,,
538,wrócić,come back,,
539,szybciej,faster,,
540,jednym,one,,
541,cokolwiek,anything,,
542,wierzę,I believe,,
543,wcale,at all,,
544,wieczór,evening,,
545,ważne,important,,
546,człowieka,human,,
547,wielki,large,,
548,nowa,new,,
549,dopiero,only,,
550,ziemi,earth,,
551,gdybym,I,,
552,tata,dad,,
553,poznać,meet,,
554,stać,be,,
555,jack,jack,,
556,myślałam,I was thinking,,
557,witaj,Hello,,
558,słowa,words,,
559,zrobiłeś,you have done,,
560,gówno,shit,,
561,john,john,,
562,dolarów,dollars,,
563,sprawę,case,,
564,inne,other,,
565,idziesz,you go,,
566,miałam,I had,,
567,wiecie,you know,,
568,chciałam,I wanted to,,
569,zobaczenia,see you,,
570,widziałeś,You are seen,,
571,żyć,live,,
572,każdym,each,,
573,nasza,our,,
574,panią,Mrs.,,
575,wspaniale,great,,
576,chwili,time,,
577,każdego,every,,
578,nowego,new,,
579,nieźle,not bad,,
580,takich,such,,
581,między,between,,
582,dostać,get,,
583,powinien,should,,
584,dawaj,give,,
585,dopóki,while,,
586,naszych,our,,
587,naszej,ours,,
588,świata,world,,
589,chłopaki,boys,,
590,chcemy,we want,,
591,poczekaj,hold on,,
592,jaką,what,,
593,człowieku,Man,,
594,czasem,sometimes,,
595,żadnego,any,,
596,inny,different,,
597,przynajmniej,at least,,
598,nazywa,called,,
599,super,cool,,
600,naszego,our,,
601,szczęście,happiness,,
602,potrzebuje,need,,
603,godziny,hours,,
604,zabrać,take,,
605,powrotem,back,,
606,syn,son,,
607,lecz,but,,
608,słucham,listen,,
609,twoich,your,,
610,udało,succeeded,,
611,boga,god,,
612,pokój,room,,
613,działa,it works,,
614,ogóle,all,,
615,naszym,our,,
616,szkoły,school,,
617,możliwe,possible,,
618,wiedział,he knew,,
619,wyjść,exit,,
620,wszystkiego,everything,,
621,byłoby,would be,,
622,daleko,far,,
623,wieczorem,in the evening,,
624,skarbie,honey,,
625,jaka,what,,
626,mógłbym,I could,,
627,ostatni,last,,
628,możecie,you can,,
629,cztery,four,,
630,doktorze,Doctor,,
631,zrobimy,we do,,
632,mąż,husband,,
633,przeciwko,against,,
634,zgadza,agrees,,
635,zrobisz,you do,,
636,czasie,time,,
637,czasami,sometimes,,
638,brzmi,reads,,
639,raczej,rather,,
640,ciało,body,,
641,należy,belongs,,
642,miasta,cities,,
643,miałeś,you,,
644,taką,the,,
645,brat,brother,,
646,cieszę,I'm happy,,
647,rozmawiać,speak,,
648,cała,whole,,
649,czymś,something,,
650,wybacz,forgive,,
651,twarz,face,,
652,mała,little,,
653,chcecie,you want,,
654,dr,Dr.,,
655,pojęcia,concepts,,
656,lubisz,do you like,,
657,głowę,head,,
658,najbardziej,most,,
659,dziwne,weird,,
660,głowy,head,,
661,wody,water,,
662,pół,half,,
663,wiadomość,message,,
